event_id: EVT00000001, load_id: LOAD00000001, trip_id: TRIP00000001, event_type: Pickup, facility_id: FAC00034, scheduled_datetime: 2022-01-01 18:00:00.000000, actual_datetime: 2022-01-01 20:58:55.918185, detention_minutes: 0, on_time_flag: False, location_city: Houston, location_state: TX
event_id: EVT00000002, load_id: LOAD00000001, trip_id: TRIP00000001, event_type: Delivery, facility_id: FAC00046, scheduled_datetime: 2022-01-02 23:10:55.918185, actual_datetime: 2022-01-02 21:30:22.142060, detention_minutes: 230, on_time_flag: True, location_city: Detroit, location_state: MI
event_id: EVT00000003, load_id: LOAD00000002, trip_id: TRIP00000002, event_type: Pickup, facility_id: FAC00015, scheduled_datetime: 2022-01-01 18:00:00.000000, actual_datetime: 2022-01-01 17:37:26.608430, detention_minutes: 62, on_time_flag: True, location_city: Kansas City, location_state: MO
event_id: EVT00000004, load_id: LOAD00000002, trip_id: TRIP00000002, event_type: Delivery, facility_id: FAC00050, scheduled_datetime: 2022-01-02 02:13:26.608430, actual_datetime: 2022-01-02 05:55:46.238257, detention_minutes: 67, on_time_flag: False, location_city: Indianapolis, location_state: IN
event_id: EVT00000005, load_id: LOAD00000003, trip_id: TRIP00000003, event_type: Pickup, facility_id: FAC00001, scheduled_datetime: 2022-01-01 08:00:00.000000, actual_datetime: 2022-01-01 07:28:02.169634, detention_minutes: 83, on_time_flag: True, location_city: Columbus, location_state: OH
event_id: EVT00000006, load_id: LOAD00000003, trip_id: TRIP00000003, event_type: Delivery, facility_id: FAC00022, scheduled_datetime: 2022-01-03 04:28:02.169634, actual_datetime: 2022-01-03 03:05:02.833256, detention_minutes: 11, on_time_flag: True, location_city: Portland, location_state: OR
event_id: EVT00000007, load_id: LOAD00000004, trip_id: TRIP00000004, event_type: Pickup, facility_id: FAC00029, scheduled_datetime: 2022-01-01 17:00:00.000000, actual_datetime: 2022-01-01 19:32:56.020030, detention_minutes: 50, on_time_flag: False, location_city: Phoenix, location_state: AZ
event_id: EVT00000008, load_id: LOAD00000004, trip_id: TRIP00000004, event_type: Delivery, facility_id: FAC00037, scheduled_datetime: 2022-01-02 06:38:56.020030, actual_datetime: 2022-01-02 08:41:06.714927, detention_minutes: 142, on_time_flag: False, location_city: Denver, location_state: CO
event_id: EVT00000009, load_id: LOAD00000005, trip_id: TRIP00000005, event_type: Pickup, facility_id: FAC00046, scheduled_datetime: 2022-01-01 08:00:00.000000, actual_datetime: 2022-01-01 11:51:35.544202, detention_minutes: 73, on_time_flag: False, location_city: Houston, location_state: TX
event_id: EVT00000010, load_id: LOAD00000005, trip_id: TRIP00000005, event_type: Delivery, facility_id: FAC00050, scheduled_datetime: 2022-01-02 22:51:35.544202, actual_datetime: 2022-01-02 22:23:50.185284, detention_minutes: 236, on_time_flag: True, location_city: Seattle, location_state: WA
event_id: EVT00000011, load_id: LOAD00000006, trip_id: TRIP00000006, event_type: Pickup, facility_id: FAC00043, scheduled_datetime: 2022-01-01 10:00:00.000000, actual_datetime: 2022-01-01 11:11:18.602953, detention_minutes: 22, on_time_flag: True, location_city: Chicago, location_state: IL
event_id: EVT00000012, load_id: LOAD00000006, trip_id: TRIP00000006, event_type: Delivery, facility_id: FAC00021, scheduled_datetime: 2022-01-03 02:35:18.602953, actual_datetime: 2022-01-02 23:52:34.261273, detention_minutes: 0, on_time_flag: False, location_city: Portland, location_state: OR
event_id: EVT00000013, load_id: LOAD00000007, trip_id: TRIP00000007, event_type: Pickup, facility_id: FAC00006, scheduled_datetime: 2022-01-01 07:00:00.000000, actual_datetime: 2022-01-01 10:21:47.625320, detention_minutes: 4, on_time_flag: False, location_city: Las Vegas, location_state: NV
event_id: EVT00000014, load_id: LOAD00000007, trip_id: TRIP00000007, event_type: Delivery, facility_id: FAC00001, scheduled_datetime: 2022-01-02 07:15:47.625320, actual_datetime: 2022-01-02 06:47:50.362676, detention_minutes: 84, on_time_flag: True, location_city: Kansas City, location_state: MO
event_id: EVT00000015, load_id: LOAD00000008, trip_id: TRIP00000008, event_type: Pickup, facility_id: FAC00046, scheduled_datetime: 2022-01-01 17:00:00.000000, actual_datetime: 2022-01-01 15:37:17.514244, detention_minutes: 66, on_time_flag: True, location_city: Philadelphia, location_state: PA
event_id: EVT00000016, load_id: LOAD00000008, trip_id: TRIP00000008, event_type: Delivery, facility_id: FAC00004, scheduled_datetime: 2022-01-03 18:07:17.514244, actual_datetime: 2022-01-03 22:03:50.883833, detention_minutes: 111, on_time_flag: False, location_city: Seattle, location_state: WA
