fuel_purchase_id: FUEL00000001, trip_id: TRIP00051284, truck_id: TRK00045, driver_id: DRV00102, purchase_date: 2023-10-22 05:00:00, location_city: Columbus, location_state: MN, gallons: 131.6, price_per_gallon: 3.399, total_cost: 447.31, fuel_card_number: FC567161
fuel_purchase_id: FUEL00000002, trip_id: TRIP00073723, truck_id: TRK00013, driver_id: nan, purchase_date: 2024-08-04 08:00:00, location_city: New York, location_state: AZ, gallons: 139.9, price_per_gallon: 3.18, total_cost: 444.88, fuel_card_number: FC717910
fuel_purchase_id: FUEL00000003, trip_id: TRIP00018286, truck_id: TRK00024, driver_id: DRV00142, purchase_date: 2022-08-23 13:00:00, location_city: Seattle, location_state: NE, gallons: 189.3, price_per_gallon: 3.804, total_cost: 720.1, fuel_card_number: FC912816
fuel_purchase_id: FUEL00000004, trip_id: TRIP00008465, truck_id: TRK00018, driver_id: DRV00047, purchase_date: 2022-04-20 00:00:00, location_city: Memphis, location_state: NY, gallons: 130.7, price_per_gallon: 3.579, total_cost: 467.78, fuel_card_number: FC776357
fuel_purchase_id: FUEL00000005, trip_id: TRIP00069700, truck_id: TRK00054, driver_id: nan, purchase_date: 2024-06-13 09:00:00, location_city: Columbus, location_state: AZ, gallons: 185.3, price_per_gallon: 3.422, total_cost: 634.1, fuel_card_number: FC391024
fuel_purchase_id: FUEL00000006, trip_id: TRIP00062650, truck_id: TRK00012, driver_id: DRV00104, purchase_date: 2024-03-18 23:00:00, location_city: Dallas, location_state: NY, gallons: 182.2, price_per_gallon: 3.494, total_cost: 636.61, fuel_card_number: FC277504
fuel_purchase_id: FUEL00000007, trip_id: TRIP00000851, truck_id: TRK00072, driver_id: DRV00127, purchase_date: 2022-01-11 21:00:00, location_city: Miami, location_state: TX, gallons: 146.3, price_per_gallon: 3.914, total_cost: 572.62, fuel_card_number: FC256663
fuel_purchase_id: FUEL00000008, trip_id: TRIP00012033, truck_id: TRK00073, driver_id: DRV00084, purchase_date: 2022-06-06 00:00:00, location_city: Phoenix, location_state: PA, gallons: 113.3, price_per_gallon: 4.471, total_cost: 506.56, fuel_card_number: FC543608
fuel_purchase_id: FUEL00000009, trip_id: TRIP00023596, truck_id: TRK00101, driver_id: DRV00080, purchase_date: 2022-10-28 02:00:00, location_city: Miami, location_state: NC, gallons: 127.0, price_per_gallon: 4.445, total_cost: 564.51, fuel_card_number: FC484857
fuel_purchase_id: FUEL00000010, trip_id: TRIP00037859, truck_id: TRK00085, driver_id: DRV00002, purchase_date: 2023-04-30 09:00:00, location_city: Dallas, location_state: MO, gallons: 134.7, price_per_gallon: 3.357, total_cost: 452.19, fuel_card_number: FC753360
fuel_purchase_id: FUEL00000011, trip_id: TRIP00027109, truck_id: TRK00103, driver_id: DRV00038, purchase_date: 2022-12-12 07:00:00, location_city: Denver, location_state: TN, gallons: 194.4, price_per_gallon: 4.06, total_cost: 789.26, fuel_card_number: FC248220
fuel_purchase_id: FUEL00000012, trip_id: TRIP00079405, truck_id: nan, driver_id: DRV00085, purchase_date: 2024-10-16 19:00:00, location_city: Los Angeles, location_state: WI, gallons: 75.4, price_per_gallon: 3.988, total_cost: 300.7, fuel_card_number: FC535781
fuel_purchase_id: FUEL00000013, trip_id: TRIP00080145, truck_id: TRK00097, driver_id: DRV00089, purchase_date: 2024-10-25 13:00:00, location_city: Atlanta, location_state: TN, gallons: 153.5, price_per_gallon: 3.301, total_cost: 506.7, fuel_card_number: FC282038
fuel_purchase_id: FUEL00000014, trip_id: TRIP00016414, truck_id: TRK00090, driver_id: DRV00024, purchase_date: 2022-07-31 09:00:00, location_city: Kansas City, location_state: FL, gallons: 122.6, price_per_gallon: 4.725, total_cost: 579.28, fuel_card_number: FC168232
fuel_purchase_id: FUEL00000015, trip_id: TRIP00048418, truck_id: TRK00076, driver_id: DRV00082, purchase_date: 2023-09-14 10:00:00, location_city: Dallas, location_state: NE, gallons: 97.4, price_per_gallon: 4.301, total_cost: 418.92, fuel_card_number: FC649134
fuel_purchase_id: FUEL00000016, trip_id: TRIP00052945, truck_id: TRK00113, driver_id: DRV00016, purchase_date: 2023-11-12 02:00:00, location_city: Minneapolis, location_state: NY, gallons: 113.4, price_per_gallon: 3.679, total_cost: 417.2, fuel_card_number: FC641499
fuel_purchase_id: FUEL00000017, trip_id: TRIP00026752, truck_id: TRK00106, driver_id: DRV00138, purchase_date: 2022-12-07 17:00:00, location_city: Seattle, location_state: PA, gallons: 167.1, price_per_gallon: 3.447, total_cost: 575.99, fuel_card_number: FC592702
fuel_purchase_id: FUEL00000018, trip_id: TRIP00022232, truck_id: TRK00057, driver_id: DRV00078, purchase_date: 2022-10-13 14:00:00, location_city: Portland, location_state: OR, gallons: 137.4, price_per_gallon: 3.827, total_cost: 525.83, fuel_card_number: FC765945
fuel_purchase_id: FUEL00000019, trip_id: TRIP00067025, truck_id: TRK00007, driver_id: DRV00121, purchase_date: 2024-05-13 07:00:00, location_city: Denver, location_state: WI, gallons: 92.1, price_per_gallon: 3.885, total_cost: 357.81, fuel_card_number: FC302982
fuel_purchase_id: FUEL00000020, trip_id: TRIP00074732, truck_id: TRK00086, driver_id: DRV00063, purchase_date: 2024-08-19 13:00:00, location_city: New York, location_state: PA, gallons: 176.1, price_per_gallon: 3.616, total_cost: 636.78, fuel_card_number: FC730436
fuel_purchase_id: FUEL00000021, trip_id: TRIP00040092, truck_id: TRK00096, driver_id: DRV00024, purchase_date: 2023-05-31 03:00:00, location_city: Phoenix, location_state: IL, gallons: 158.1, price_per_gallon: 4.194, total_cost: 663.07, fuel_card_number: FC100858
fuel_purchase_id: FUEL00000022, trip_id: TRIP00029869, truck_id: TRK00113, driver_id: DRV00070, purchase_date: 2023-01-18 08:00:00, location_city: Salt Lake City, location_state: NC, gallons: 130.5, price_per_gallon: 3.336, total_cost: 435.35, fuel_card_number: FC203278
