load_id: LOAD00000001, customer_id: CUST00183, route_id: RTE00019, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 19178, pieces: 13, revenue: 3045.23, fuel_surcharge: 406.72, accessorial_charges: 100, load_status: Completed, booking_type: Spot
load_id: LOAD00000002, customer_id: CUST00076, route_id: RTE00058, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 27761, pieces: 22, revenue: 1224.48, fuel_surcharge: 98.61, accessorial_charges: 0, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000003, customer_id: CUST00027, route_id: RTE00048, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 35594, pieces: 16, revenue: 7171.12, fuel_surcharge: 792.88, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000004, customer_id: CUST00088, route_id: RTE00013, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 33274, pieces: 10, revenue: 1308.2, fuel_surcharge: 141.33, accessorial_charges: 50, load_status: Completed, booking_type: Spot
load_id: LOAD00000005, customer_id: CUST00185, route_id: RTE00020, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 40257, pieces: 10, revenue: 3317.18, fuel_surcharge: 738.48, accessorial_charges: 0, load_status: Completed, booking_type: Spot
load_id: LOAD00000006, customer_id: CUST00193, route_id: RTE00004, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 34671, pieces: 10, revenue: 3582.78, fuel_surcharge: 383.23, accessorial_charges: 75, load_status: Completed, booking_type: Spot
load_id: LOAD00000007, customer_id: CUST00169, route_id: RTE00038, load_date: 2022-01-01, load_type: Dry Van, weight_lbs: 14530, pieces: 4, revenue: 3872.46, fuel_surcharge: 314.64, accessorial_charges: 150, load_status: Completed, booking_type: Contract
load_id: LOAD00000008, customer_id: CUST00049, route_id: RTE00016, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 16927, pieces: 26, revenue: 5914.9, fuel_surcharge: 463.93, accessorial_charges: 100, load_status: Completed, booking_type: Spot
load_id: LOAD00000009, customer_id: CUST00075, route_id: RTE00025, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 38964, pieces: 3, revenue: 4759.42, fuel_surcharge: 565.38, accessorial_charges: 150, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000010, customer_id: CUST00079, route_id: RTE00025, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 29233, pieces: 8, revenue: 5723.39, fuel_surcharge: 565.38, accessorial_charges: 50, load_status: Completed, booking_type: Dedicated
load_id: LOAD00000011, customer_id: CUST00127, route_id: RTE00058, load_date: 2022-01-01, load_type: Refrigerated, weight_lbs: 34882, pieces: 20, revenue: 1206.59, fuel_surcharge: 98.61, accessorial_charges: 0, load_status: Completed, booking_type: Contract
