route_id: RTE00001, origin_city: Atlanta, origin_state: GA, destination_city: Chicago, destination_state: IL, typical_distance_miles: 677, base_rate_per_mile: 1.7, fuel_surcharge_rate: 0.19, typical_transit_days: 1
route_id: RTE00002, origin_city: Atlanta, origin_state: GA, destination_city: Miami, destination_state: FL, typical_distance_miles: 697, base_rate_per_mile: 2.08, fuel_surcharge_rate: 0.22, typical_transit_days: 1
route_id: RTE00003, origin_city: Chicago, origin_state: IL, destination_city: Los Angeles, destination_state: CA, typical_distance_miles: 2003, base_rate_per_mile: 2.55, fuel_surcharge_rate: 0.29, typical_transit_days: 3
route_id: RTE00004, origin_city: Chicago, origin_state: IL, destination_city: Portland, destination_state: OR, typical_distance_miles: 2017, base_rate_per_mile: 1.84, fuel_surcharge_rate: 0.19, typical_transit_days: 3
route_id: RTE00005, origin_city: Chicago, origin_state: IL, destination_city: Las Vegas, destination_state: NV, typical_distance_miles: 1749, base_rate_per_mile: 2.41, fuel_surcharge_rate: 0.26, typical_transit_days: 3
route_id: RTE00006, origin_city: Chicago, origin_state: IL, destination_city: Charlotte, destination_state: NC, typical_distance_miles: 675, base_rate_per_mile: 2.13, fuel_surcharge_rate: 0.28, typical_transit_days: 1
route_id: RTE00007, origin_city: Dallas, origin_state: TX, destination_city: New York, destination_state: NY, typical_distance_miles: 1576, base_rate_per_mile: 2.54, fuel_surcharge_rate: 0.32, typical_transit_days: 2
route_id: RTE00008, origin_city: Dallas, origin_state: TX, destination_city: Denver, destination_state: CO, typical_distance_miles: 762, base_rate_per_mile: 2.62, fuel_surcharge_rate: 0.15, typical_transit_days: 1
route_id: RTE00009, origin_city: Dallas, origin_state: TX, destination_city: Indianapolis, destination_state: IN, typical_distance_miles: 878, base_rate_per_mile: 1.95, fuel_surcharge_rate: 0.17, typical_transit_days: 1
route_id: RTE00010, origin_city: New York, origin_state: NY, destination_city: Philadelphia, destination_state: PA, typical_distance_miles: 92, base_rate_per_mile: 1.61, fuel_surcharge_rate: 0.17, typical_transit_days: 1
route_id: RTE00011, origin_city: New York, origin_state: NY, destination_city: Columbus, destination_state: OH, typical_distance_miles: 547, base_rate_per_mile: 1.69, fuel_surcharge_rate: 0.24, typical_transit_days: 1
route_id: RTE00012, origin_city: Phoenix, origin_state: AZ, destination_city: Philadelphia, destination_state: PA, typical_distance_miles: 2389, base_rate_per_mile: 2.71, fuel_surcharge_rate: 0.19, typical_transit_days: 4
route_id: RTE00013, origin_city: Phoenix, origin_state: AZ, destination_city: Denver, destination_state: CO, typical_distance_miles: 673, base_rate_per_mile: 1.7, fuel_surcharge_rate: 0.21, typical_transit_days: 1
route_id: RTE00014, origin_city: Phoenix, origin_state: AZ, destination_city: Kansas City, destination_state: MO, typical_distance_miles: 1204, base_rate_per_mile: 2.14, fuel_surcharge_rate: 0.19, typical_transit_days: 2
route_id: RTE00015, origin_city: Philadelphia, origin_state: PA, destination_city: New York, destination_state: NY, typical_distance_miles: 92, base_rate_per_mile: 2.79, fuel_surcharge_rate: 0.15, typical_transit_days: 1
route_id: RTE00016, origin_city: Philadelphia, origin_state: PA, destination_city: Seattle, destination_state: WA, typical_distance_miles: 2729, base_rate_per_mile: 2.5, fuel_surcharge_rate: 0.17, typical_transit_days: 4
route_id: RTE00017, origin_city: Philadelphia, origin_state: PA, destination_city: Minneapolis, destination_state: MN, typical_distance_miles: 1130, base_rate_per_mile: 1.81, fuel_surcharge_rate: 0.34, typical_transit_days: 1
route_id: RTE00018, origin_city: Philadelphia, origin_state: PA, destination_city: Indianapolis, destination_state: IN, typical_distance_miles: 670, base_rate_per_mile: 2.07, fuel_surcharge_rate: 0.28, typical_transit_days: 1
route_id: RTE00019, origin_city: Houston, origin_state: TX, destination_city: Detroit, destination_state: MI, typical_distance_miles: 1271, base_rate_per_mile: 2.33, fuel_surcharge_rate: 0.32, typical_transit_days: 2
route_id: RTE00020, origin_city: Houston, origin_state: TX, destination_city: Seattle, destination_state: WA, typical_distance_miles: 2172, base_rate_per_mile: 1.77, fuel_surcharge_rate: 0.34, typical_transit_days: 3
route_id: RTE00021, origin_city: Houston, origin_state: TX, destination_city: Portland, destination_state: OR, typical_distance_miles: 2108, base_rate_per_mile: 2.45, fuel_surcharge_rate: 0.28, typical_transit_days: 3
route_id: RTE00022, origin_city: Houston, origin_state: TX, destination_city: Memphis, destination_state: TN, typical_distance_miles: 557, base_rate_per_mile: 1.95, fuel_surcharge_rate: 0.29, typical_transit_days: 1
route_id: RTE00023, origin_city: Miami, origin_state: FL, destination_city: Dallas, destination_state: TX, typical_distance_miles: 1276, base_rate_per_mile: 2.33, fuel_surcharge_rate: 0.17, typical_transit_days: 2
route_id: RTE00024, origin_city: Miami, origin_state: FL, destination_city: Philadelphia, destination_state: PA, typical_distance_miles: 1175, base_rate_per_mile: 2.48, fuel_surcharge_rate: 0.32, typical_transit_days: 2
route_id: RTE00025, origin_city: Miami, origin_state: FL, destination_city: Seattle, destination_state: WA, typical_distance_miles: 3141, base_rate_per_mile: 1.65, fuel_surcharge_rate: 0.18, typical_transit_days: 5
route_id: RTE00026, origin_city: Miami, origin_state: FL, destination_city: Denver, destination_state: CO, typical_distance_miles: 1984, base_rate_per_mile: 1.72, fuel_surcharge_rate: 0.28, typical_transit_days: 3
route_id: RTE00027, origin_city: Detroit, origin_state: MI, destination_city: Houston, destination_state: TX, typical_distance_miles: 1271, base_rate_per_mile: 2.02, fuel_surcharge_rate: 0.33, typical_transit_days: 2
route_id: RTE00028, origin_city: Seattle, origin_state: WA, destination_city: Houston, destination_state: TX, typical_distance_miles: 2172, base_rate_per_mile: 1.89, fuel_surcharge_rate: 0.26, typical_transit_days: 3
route_id: RTE00029, origin_city: Seattle, origin_state: WA, destination_city: Charlotte, destination_state: NC, typical_distance_miles: 2623, base_rate_per_mile: 2.47, fuel_surcharge_rate: 0.34, typical_transit_days: 4
route_id: RTE00030, origin_city: Seattle, origin_state: WA, destination_city: Indianapolis, destination_state: IN, typical_distance_miles: 2147, base_rate_per_mile: 2.48, fuel_surcharge_rate: 0.33, typical_transit_days: 3
route_id: RTE00031, origin_city: Denver, origin_state: CO, destination_city: Kansas City, destination_state: MO, typical_distance_miles: 640, base_rate_per_mile: 2.19, fuel_surcharge_rate: 0.29, typical_transit_days: 1
route_id: RTE00032, origin_city: Portland, origin_state: OR, destination_city: Detroit, destination_state: MI, typical_distance_miles: 2259, base_rate_per_mile: 1.99, fuel_surcharge_rate: 0.2, typical_transit_days: 3
route_id: RTE00033, origin_city: Portland, origin_state: OR, destination_city: Seattle, destination_state: WA, typical_distance_miles: 167, base_rate_per_mile: 2.42, fuel_surcharge_rate: 0.24, typical_transit_days: 1
route_id: RTE00034, origin_city: Portland, origin_state: OR, destination_city: Columbus, destination_state: OH, typical_distance_miles: 2332, base_rate_per_mile: 2.12, fuel_surcharge_rate: 0.34, typical_transit_days: 4
