incident_id: INC00000001, trip_id: TRIP00036079, truck_id: TRK00006, driver_id: DRV00006, incident_date: 2023-04-09 14:00:00, incident_type: Moving Violation, location_city: Columbus, location_state: PA, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 12629.26, cargo_damage_cost: 0.0, claim_amount: 12629.26, preventable_flag: True, description: Severe incident involving equipment
incident_id: INC00000002, trip_id: TRIP00032462, truck_id: TRK00084, driver_id: DRV00006, incident_date: 2023-02-19 11:00:00, incident_type: Moving Violation, location_city: Columbus, location_state: NC, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 2700.7, cargo_damage_cost: 14284.24, claim_amount: 16984.94, preventable_flag: False, description: Severe incident involving weather
incident_id: INC00000003, trip_id: TRIP00067583, truck_id: TRK00106, driver_id: DRV00119, incident_date: 2024-05-20 01:00:00, incident_type: Customer Complaint, location_city: Seattle, location_state: OK, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 24302.32, cargo_damage_cost: 0.0, claim_amount: 24302.32, preventable_flag: True, description: Minor incident involving traffic
incident_id: INC00000004, trip_id: TRIP00049128, truck_id: TRK00085, driver_id: DRV00134, incident_date: 2023-09-26 03:00:00, incident_type: Equipment Damage, location_city: Kansas City, location_state: TN, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 4879.13, cargo_damage_cost: 0.0, claim_amount: 4879.13, preventable_flag: True, description: Moderate incident involving equipment
incident_id: INC00000005, trip_id: TRIP00062884, truck_id: TRK00014, driver_id: DRV00133, incident_date: 2024-03-20 14:00:00, incident_type: DOT Violation, location_city: Las Vegas, location_state: IN, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 14951.4, cargo_damage_cost: 0.0, claim_amount: 14951.4, preventable_flag: False, description: Minor incident involving other driver
incident_id: INC00000006, trip_id: TRIP00004361, truck_id: TRK00007, driver_id: DRV00005, incident_date: 2022-02-27 18:00:00, incident_type: Equipment Damage, location_city: Oklahoma City, location_state: CO, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 0.0, cargo_damage_cost: 0.0, claim_amount: 0.0, preventable_flag: False, description: Minor incident involving weather
incident_id: INC00000007, trip_id: TRIP00012773, truck_id: TRK00007, driver_id: DRV00109, incident_date: 2022-06-13 02:00:00, incident_type: DOT Violation, location_city: Portland, location_state: TX, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 12589.05, cargo_damage_cost: 28315.16, claim_amount: 40904.21, preventable_flag: True, description: Moderate incident involving traffic
incident_id: INC00000008, trip_id: TRIP00072329, truck_id: TRK00115, driver_id: DRV00060, incident_date: 2024-07-17 20:00:00, incident_type: Accident, location_city: Phoenix, location_state: TX, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 15572.01, cargo_damage_cost: 0.0, claim_amount: 15572.01, preventable_flag: False, description: Moderate incident involving equipment
incident_id: INC00000009, trip_id: TRIP00043143, truck_id: TRK00107, driver_id: DRV00003, incident_date: 2023-07-08 02:00:00, incident_type: Customer Complaint, location_city: Oklahoma City, location_state: TX, at_fault_flag: False, injury_flag: True, vehicle_damage_cost: 22283.17, cargo_damage_cost: 379.1, claim_amount: 22662.27, preventable_flag: False, description: Moderate incident involving traffic
incident_id: INC00000010, trip_id: TRIP00068700, truck_id: TRK00074, driver_id: DRV00132, incident_date: 2024-06-03 04:00:00, incident_type: Equipment Damage, location_city: Detroit, location_state: PA, at_fault_flag: False, injury_flag: False, vehicle_damage_cost: 0.0, cargo_damage_cost: 33901.9, claim_amount: 33901.9, preventable_flag: False, description: Severe incident involving equipment
incident_id: INC00000011, trip_id: TRIP00022792, truck_id: TRK00007, driver_id: DRV00041, incident_date: 2022-10-18 02:00:00, incident_type: Equipment Damage, location_city: Milwaukee, location_state: NE, at_fault_flag: True, injury_flag: False, vehicle_damage_cost: 18252.77, cargo_damage_cost: 0.0, claim_amount: 18252.77, preventable_flag: True, description: Severe incident involving weather
