trailer_id: TRL00001, trailer_number: 4290, trailer_type: Refrigerated, length_feet: 53, model_year: 2016, vin: 1AV889081755621178, acquisition_date: 2018-05-11, status: Active, current_location: Kansas City
trailer_id: TRL00002, trailer_number: 8848, trailer_type: Dry Van, length_feet: 53, model_year: 2018, vin: 1BU942062588832828, acquisition_date: 2018-11-24, status: Active, current_location: Kansas City
trailer_id: TRL00003, trailer_number: 6147, trailer_type: Dry Van, length_feet: 53, model_year: 2022, vin: 1AV669057807416326, acquisition_date: 2019-01-28, status: Active, current_location: Milwaukee
trailer_id: TRL00004, trailer_number: 3910, trailer_type: Dry Van, length_feet: 53, model_year: 2024, vin: 1AV544000060905105, acquisition_date: 2018-08-27, status: Active, current_location: New York
trailer_id: TRL00005, trailer_number: 7524, trailer_type: Dry Van, length_feet: 53, model_year: 2016, vin: 1AV170126369813275, acquisition_date: 2019-11-22, status: Active, current_location: Las Vegas
trailer_id: TRL00006, trailer_number: 6228, trailer_type: Refrigerated, length_feet: 53, model_year: 2023, vin: 1BV247166900716104, acquisition_date: 2020-04-27, status: Active, current_location: Los Angeles
trailer_id: TRL00007, trailer_number: 5775, trailer_type: Dry Van, length_feet: 53, model_year: 2015, vin: 1AU542428020643035, acquisition_date: 2016-03-15, status: Active, current_location: Indianapolis
trailer_id: TRL00008, trailer_number: 9044, trailer_type: Refrigerated, length_feet: 53, model_year: 2020, vin: 1CV458098594511128, acquisition_date: 2019-04-23, status: Active, current_location: Oklahoma City
trailer_id: TRL00009, trailer_number: 4971, trailer_type: Dry Van, length_feet: 53, model_year: 2020, vin: 1BU184087873073667, acquisition_date: 2021-05-14, status: Active, current_location: Kansas City
trailer_id: TRL00010, trailer_number: 6339, trailer_type: Refrigerated, length_feet: 53, model_year: 2017, vin: 1AT967110002225980, acquisition_date: 2015-04-11, status: Active, current_location: Los Angeles
trailer_id: TRL00011, trailer_number: 7161, trailer_type: Dry Van, length_feet: 53, model_year: 2021, vin: 1CT218958376680556, acquisition_date: 2017-06-21, status: Active, current_location: Detroit
