trip_id: TRIP00000001, load_id: LOAD00000001, driver_id: DRV00117, truck_id: TRK00035, trailer_id: TRL00167, dispatch_date: 2022-01-01, actual_distance_miles: 1314, actual_duration_hours: 26.2, fuel_gallons_used: 183.8, average_mpg: 7.15, idle_time_hours: 3.5, trip_status: Completed
trip_id: TRIP00000002, load_id: LOAD00000002, driver_id: DRV00141, truck_id: TRK00108, trailer_id: TRL00082, dispatch_date: 2022-01-01, actual_distance_miles: 515, actual_duration_hours: 8.6, fuel_gallons_used: 93.6, average_mpg: 5.5, idle_time_hours: 8.3, trip_status: Completed
trip_id: TRIP00000003, load_id: LOAD00000003, driver_id: DRV00032, truck_id: TRK00031, trailer_id: TRL00138, dispatch_date: 2022-01-01, actual_distance_miles: 2509, actual_duration_hours: 45.0, fuel_gallons_used: 339.1, average_mpg: 7.4, idle_time_hours: 12.0, trip_status: Completed
trip_id: TRIP00000004, load_id: LOAD00000004, driver_id: DRV00083, truck_id: TRK00105, trailer_id: TRL00018, dispatch_date: 2022-01-01, actual_distance_miles: 717, actual_duration_hours: 11.1, fuel_gallons_used: 110.3, average_mpg: 6.5, idle_time_hours: 9.6, trip_status: Completed
trip_id: TRIP00000005, load_id: LOAD00000005, driver_id: DRV00044, truck_id: TRK00076, trailer_id: TRL00054, dispatch_date: 2022-01-01, actual_distance_miles: 2243, actual_duration_hours: 35.0, fuel_gallons_used: 328.9, average_mpg: 6.82, idle_time_hours: 11.6, trip_status: Completed
trip_id: TRIP00000006, load_id: LOAD00000006, driver_id: DRV00120, truck_id: TRK00062, trailer_id: TRL00007, dispatch_date: 2022-01-01, actual_distance_miles: 1977, actual_duration_hours: 39.4, fuel_gallons_used: 358.8, average_mpg: 5.51, idle_time_hours: 6.6, trip_status: Completed
trip_id: TRIP00000007, load_id: LOAD00000007, driver_id: DRV00055, truck_id: TRK00002, trailer_id: TRL00093, dispatch_date: 2022-01-01, actual_distance_miles: 1350, actual_duration_hours: 20.9, fuel_gallons_used: 230.8, average_mpg: 5.85, idle_time_hours: 2.3, trip_status: Completed
trip_id: TRIP00000008, load_id: LOAD00000008, driver_id: DRV00065, truck_id: TRK00035, trailer_id: TRL00148, dispatch_date: 2022-01-01, actual_distance_miles: 2748, actual_duration_hours: 50.5, fuel_gallons_used: 437.6, average_mpg: 6.28, idle_time_hours: 10.5, trip_status: Completed
trip_id: TRIP00000009, load_id: LOAD00000009, driver_id: DRV00129, truck_id: TRK00014, trailer_id: TRL00083, dispatch_date: 2022-01-01, actual_distance_miles: 3226, actual_duration_hours: 51.4, fuel_gallons_used: 465.5, average_mpg: 6.93, idle_time_hours: 4.1, trip_status: Completed
trip_id: TRIP00000010, load_id: LOAD00000010, driver_id: DRV00029, truck_id: TRK00116, trailer_id: TRL00126, dispatch_date: 2022-01-01, actual_distance_miles: 3388, actual_duration_hours: 60.2, fuel_gallons_used: 460.3, average_mpg: 7.36, idle_time_hours: 5.7, trip_status: Completed
trip_id: TRIP00000011, load_id: LOAD00000011, driver_id: DRV00132, truck_id: TRK00085, trailer_id: TRL00083, dispatch_date: 2022-01-01, actual_distance_miles: 538, actual_duration_hours: 9.9, fuel_gallons_used: 72.2, average_mpg: 7.45, idle_time_hours: 4.9, trip_status: Completed
